"Today we'll install the braces which consist of bands, brackets, and an archwire."	"오늘은 밴드, 브래킷 및 아치 와이어가 포함된 교정기를 설치할 예정입니다."
You should wear these elastics to improve the alignment of your jaw.	턱의 정렬을 개선하기 위해 이러한 고무 밴드를 착용해야 합니다.
The cephalometric radiograph will help us understand the position of your jaws and teeth.	두부 방사선 사진은 귀하의 턱과 이의 위치를 이해하는 데 도움이 될 것입니다.
"We recommend using a lip bumper to relieve pressure from your lower braces, helping to move your molars backward and create space for alignment."	하악 교정기의 압력을 완화하고 구치를 뒤로 이동시켜 정렬을 위한 공간을 만들기 위해 립 범퍼 사용을 권장합니다.
"To treat your Class II Malocclusion, we'll integrate the use of elastics with your braces to help adjust the position of your jaw and improve your facial profile."	2급 부정교합을 치료하기 위해 교정기와 함께 탄성 밴드를 사용하여 턱의 위치를 조정하고 얼굴 윤곽을 개선하는 데 도움을 줄 것입니다.
"If you're concerned about the appearance of braces, we can offer ceramic braces that are less noticeable but just as effective as traditional metal braces."	"교정기의 외관이 걱정된다면, 전통적인 금속 교정기만큼 효과적이지만 덜 눈에 띄는 세라믹 교정기를 제공할 수 있습니다."
"For your open bite, we might need to use a tongue crib to discourage tongue thrusting habits, which can help realign your teeth properly."	"열린 교합을 위해 혀 밀어내기 습관을 억제하는 혀 요람을 사용해야 할 수도 있으며, 이는 치아를 올바르게 재정렬하는 데 도움이 될 수 있습니다."
"To prevent damage to your braces from night-time grinding, a nightguard will be custom-made to protect your teeth while you sleep."	"야간 이갈이로 인한 교정기 손상을 방지하기 위해, 수면 중 치아를 보호하기 위해 맞춤형 나이트가드를 제작할 것입니다."
"We'll use a Pendulum appliance to correct molar positioning in your upper jaw, effectively moving them backward to adjust your bite."	"상악의 구치 위치를 교정하기 위해 진자 장치를 사용하여, 효과적으로 이를 뒤로 이동시켜 교합을 조정할 것입니다."
"Your treatment plan includes using a functional appliance to stimulate jaw growth, which will help correct your underbite over time."	"치료 계획에는 턱 성장을 자극하는 기능성 장치 사용이 포함되어 있으며, 이는 시간이 지남에 따라 하악 돌출을 교정하는 데 도움이 될 것입니다."
"Due to the crowding in your lower jaw, interproximal reduction will be performed to carefully remove small amounts of enamel, creating necessary space for alignment."	"하악의 혼잡으로 인해, 필요한 정렬 공간을 만들기 위해 소량의 법랑질을 신중하게 제거하는 근접면 축소를 수행할 것입니다."
"To reduce the risk of relapse after treatment, a fixed retainer will be placed behind your teeth, maintaining their new position long-term."	"치료 후 재발 위험을 줄이기 위해, 치아 뒤에 고정 리테이너를 배치하여 장기적으로 새로운 위치를 유지할 것입니다."
"The use of a Nance appliance will help maintain the space in your upper jaw until your permanent teeth fully erupt, preventing shifting."	낸스 장치 사용은 영구 치아가 완전히 분출될 때까지 상악의 공간을 유지하는 데 도움을 주어 이동을 방지할 것입니다.
"To address your gummy smile, we plan a minor esthetic gum contouring procedure to reshape the gum line and improve your smile's appearance."	"잇몸 미소를 해결하기 위해, 잇몸선을 재구성하고 미소의 외모를 개선하기 위해 경미한 심미적 잇몸 윤곽 조정 절차를 계획하고 있습니다."
"During your treatment, we'll use separators to create space before placing bands on your molars, ensuring a comfortable fit for further appliances."	치료 중에는 구치에 밴드를 부착하기 전에 분리기를 사용하여 공간을 만들어 추가 장치에 대해 편안한 착용감을 보장할 것입니다.
"If your braces cause irritation, applying dental wax to the brackets can provide immediate relief and protect the inside of your mouth."	"교정기가 자극을 줄 경우, 브래킷에 치과용 왁스를 바르면 즉각적인 완화를 제공하고 입 안을 보호할 수 있습니다."
"For better management of your Class I Malocclusion, we'll adjust the archwire periodically to fine-tune the alignment of your teeth."	"1급 부정교합을 더 잘 관리하기 위해, 주기적으로 아치 와이어를 조정하여 치아의 정렬을 미세 조정할 것입니다."
"To facilitate your orthodontic treatment, we're considering a temporary anchorage device that provides additional support for tooth movement."	"교정 치료를 용이하게 하기 위해, 치아 이동에 추가적인 지지를 제공하는 임시 고정 장치 사용을 고려하고 있습니다."
"If the soft tissues around your teeth become inflamed, periodontal care will be integrated into your treatment plan to ensure overall oral health."	"치아 주변 연조직이 염증을 일으킬 경우, 전반적인 구강 건강을 보장하기 위해 치주 치료가 치료 계획에 통합될 것입니다."
"We will use an expander to correct the narrow arch of your upper jaw, making future orthodontic work easier and more effective."	"상악의 좁은 아치를 교정하기 위해 확장기를 사용할 것이며, 이는 향후 교정 작업을 더 쉽고 효과적으로 만들 것입니다."
"To protect your braces during sports, we recommend a custom athletic mouthguard that will cushion any impact and prevent damage to your orthodontic appliances."	"스포츠 활동 중 교정기를 보호하기 위해, 충격을 완화하고 교정 장치의 손상을 방지할 수 있는 맞춤형 운동용 마우스가드를 추천합니다."
"The digital impressions from our intraoral scanner are crucial for crafting your customized aligners, ensuring they fit perfectly and move your teeth efficiently."	"구강 내 스캐너에서 얻은 디지털 인상은 맞춤형 교정기를 제작하는 데 중요하며, 이는 교정기가 완벽하게 맞고 치아를 효율적으로 움직이도록 보장합니다."
"Given your gummy smile, we will employ a minor surgical procedure known as a gingivectomy, in conjunction with your orthodontic treatment to enhance your smile aesthetics."	"잇몸 미소가 있는 경우, 미소 미학을 향상시키기 위해 교정 치료와 함께 gingivectomy라고 알려진 경미한 수술 절차를 사용할 것입니다."
We will use a bonded retainer after your braces are removed to maintain the alignment of your front teeth and prevent any potential shifting.	"교정기를 제거한 후, 앞니의 정렬을 유지하고 잠재적인 이동을 방지하기 위해 고정 리테이너를 사용할 것입니다."
"To manage your protruding upper teeth, also known as buck teeth, we will apply braces with specific archwires designed to pull these teeth backward gently."	"돌출된 상악 치아, 일명 벅 치아를 관리하기 위해, 이 치아를 부드럽게 뒤로 당기도록 설계된 특정 아치 와이어가 있는 교정기를 적용할 것입니다."
"For the impacted tooth that hasn't erupted properly, we might need to perform a minor surgical procedure to expose the tooth and guide it into place with braces."	"제대로 분출되지 않은 매복 치아의 경우, 치아를 노출시키고 교정기로 제자리로 안내하기 위해 경미한 수술 절차를 수행해야 할 수 있습니다."
"If you experience discomfort from the brackets rubbing against your cheeks, we can apply orthodontic wax to provide a barrier and reduce irritation."	"브래킷이 볼에 문질러 불편함을 느낄 경우, 자극을 줄이고 방어막을 제공하기 위해 교정 wax를 적용할 수 있습니다."
"During your orthodontic treatment, we will use separators to create space between your molars before fitting bands, ensuring a proper fit and alignment."	교정 치료 중에는 밴드를 장착하기 전에 구치 사이에 공간을 만들기 위해 분리기를 사용하여 적절한 착용감과 정렬을 보장할 것입니다.
"For patients with lingual braces, we recommend extra care during brushing to ensure food particles and plaque are thoroughly removed from behind the teeth."	"설측 교정기를 사용하는 환자의 경우, 치아 뒤쪽의 음식물 찌꺼기와 플라그가 철저하게 제거되도록 양치질 할 때 추가적인 주의를 권장합니다."
"After removing your braces, we will use a panoramic radiograph to check the overall health of your teeth and jaw, ensuring no underlying issues remain."	"교정기를 제거한 후, 파노라마 방사선 사진을 사용하여 치아와 턱의 전반적인 건강을 확인하고 근본적인 문제가 남아 있지 않도록 할 것입니다."
"To ensure the long-term stability of your teeth after braces, we'll use a bonded retainer. This retainer is glued behind your teeth, making it invisible while effectively maintaining alignment."	교정기 제거 후 치아의 장기적인 안정성을 보장하기 위해 고정 리테이너를 사용할 것입니다. 이 리테이너는 치아 뒤에 붙어 있어 보이지 않으면서 효과적으로 정렬을 유지합니다.
"If you're experiencing discomfort from the archwire, we can apply orthodontic wax to ease the irritation. This will protect your gums and the inside of your mouth from abrasion."	"아치 와이어로 인해 불편함을 겪고 있다면, 자극을 완화하기 위해 교정 왁스를 적용할 수 있습니다. 이는 잇몸과 입 안을 마찰로부터 보호할 것입니다."
"For your overjet, we plan to use Class II elastics along with your braces. These elastics help pull the upper teeth back to align properly with the lower teeth."	"과개를 위해, 교정기와 함께 2급 탄성 밴드를 사용할 계획입니다. 이 밴드는 상악 치아를 뒤로 당겨 하악 치아와 제대로 정렬되도록 도와줍니다."
"To address the crowding in your lower teeth, we'll initially use a lip bumper to create more space by pushing the molars back before using braces to straighten them."	"하악의 혼잡을 해결하기 위해, 처음에는 구치를 뒤로 밀어 공간을 만든 후 교정기를 사용하여 치아를 곧게 펴기 위해 립 범퍼를 사용할 것입니다."
"During your orthodontic treatment, we'll take periodic panoramic radiographs to monitor the progress and make adjustments to your treatment plan as needed."	"교정 치료 기간 동안, 주기적으로 파노라마 방사선 사진을 찍어 진행 상황을 모니터링하고 필요에 따라 치료 계획을 조정할 것입니다."
"For the diastema between your teeth, we might consider composite bonding after spacing them properly with braces, providing a quick and aesthetic solution."	"치아 사이의 디아스테마에 대해, 교정기로 적절히 공간을 조정한 후 복합 본딩을 고려할 수 있으며, 이는 빠르고 미적인 해결책을 제공합니다."
"To minimize discomfort and accelerate your treatment, we're recommending AcceleDent. This device uses gentle vibrations to help shift your teeth faster."	불편함을 최소화하고 치료를 가속화하기 위해 AcceleDent를 추천합니다. 이 장치는 부드러운 진동을 사용하여 치아의 이동을 빠르게 돕습니다.
"In cases of severe malocclusion, we sometimes recommend orthognathic surgery to adjust the jaw position, followed by braces to perfect the dental alignment."	"심각한 부정교합의 경우, 때때로 턱 위치를 조정하기 위한 교정 수술을 권장한 후 교정기를 사용하여 치아 정렬을 완성합니다."
