"Today we'll install the braces which consist of bands, brackets, and an archwire."	"오늘은 밴드, 브래킷 및 아치 와이어가 포함된 교정기를 설치할 예정입니다."
You should wear these elastics to improve the alignment of your jaw.	턱의 정렬을 개선하기 위해 이러한 고무 밴드를 착용해야 합니다.
The cephalometric radiograph will help us understand the position of your jaws and teeth.	두부 방사선 사진은 귀하의 턱과 이의 위치를 이해하는 데 도움이 될 것입니다.
This palatal expander will gradually widen your upper jaw.	이 구개 확장기는 서서히 상악을 넓힐 것입니다.
"If you're experiencing any discomfort from the brackets, I can apply some dental wax to ease it."	"브래킷으로 인해 불편함을 겪고 있다면, 일부 치과용 왁스를 적용하여 완화할 수 있습니다."
We'll use a fixed appliance to ensure your teeth move correctly and stay in place.	치아가 올바르게 움직이고 제자리에 머물 수 있도록 고정 장치를 사용할 것입니다.
"After your braces are removed, you will need to wear a retainer to maintain the new position of your teeth."	교정기를 제거한 후에는 새로운 치아 위치를 유지하기 위해 리테이너를 착용해야 합니다.
"You have a Class II Malocclusion, where the upper front teeth are protruding. We'll correct this with braces."	상악 전치부가 돌출된 2급 부정교합이 있습니다. 이를 교정기로 교정할 것입니다.
Please make sure to brush around the brackets and wires thoroughly to prevent plaque buildup.	치태가 쌓이는 것을 방지하기 위해 브래킷과 와이어 주변을 철저히 닦아 주십시오.
We will check the progress of the tooth movements using a panoramic radiograph at your next visit.	다음 방문 때 파노라마 방사선 사진을 사용하여 치아 이동의 진행 상황을 확인할 것입니다.
We need to take a panoramic radiograph to view the alignment of all your teeth and jaws.	모든 치아와 턱의 배열을 보기 위해 파노라마 방사선 사진을 찍어야 합니다.
The Herbst appliance will help advance your lower jaw to correct your Class II Malocclusion.	Herbst 장치는 하악을 전진시켜 2급 부정교합을 교정하는 데 도움이 될 것입니다.
We will use a space maintainer to hold the spot for the permanent tooth until it erupts.	영구 치아가 나올 때까지 자리를 유지하기 위해 스페이스 메인테이너를 사용할 것입니다.
The lingual braces are placed on the tongue side of your teeth and are less visible.	설측 교정기는 치아의 혀 쪽에 부착되어 덜 눈에 띕니다.
Regular flossing is crucial to remove plaque and food particles between your teeth and braces.	정기적인 치실 사용은 치아와 교정기 사이의 플라그와 음식물 찌꺼기를 제거하는 데 매우 중요합니다.
A frenectomy may be needed to eliminate the gap between your front teeth if it is caused by a large frenum.	큰 프리넘으로 인해 앞니 사이에 공간이 생길 경우 프레넥토미가 필요할 수 있습니다.
Your treatment includes using elastics to adjust the bite and alignment of your jaws.	치료에는 턱의 교합과 정렬을 조정하기 위해 고무 밴드를 사용하는 것이 포함됩니다.
"Because of bruxism, you are experiencing tooth wear; we recommend wearing a nightguard."	이갈이로 인해 치아 마모가 발생하여 나이트가드 착용을 권장합니다.
The cephalometric radiograph will help us analyze the skeletal structure of your face for comprehensive treatment.	두부 방사선 사진은 종합적인 치료를 위해 얼굴의 골격 구조를 분석하는 데 도움이 될 것입니다.
"To treat your open bite, we might consider using a tongue crib to control your tongue thrust."	열린 교합을 치료하기 위해 혀 밀기를 조절하는 혀 침대 사용을 고려할 수 있습니다.
"You might experience some initial discomfort with the buccal tube, but it's essential for holding the archwire."	"초기에 볼 튜브로 인해 약간의 불편함을 느낄 수 있지만, 이는 아치 와이어를 고정하는 데 필수적입니다."
The ligating module will secure the wire to the brackets and ensure your teeth move correctly.	결찰 모듈이 와이어를 브래킷에 고정시켜 치아가 올바르게 움직이도록 보장합니다.
"Your arch consists of both the upper and lower jaws, which we need to align perfectly during treatment."	치료 중에 완벽하게 정렬해야 하는 상악과 하악으로 구성됩니다.
We'll place separators between your teeth this week to prepare for the metal bands next appointment.	다음 약속에 메탈 밴드를 준비하기 위해 이번 주에 치아 사이에 분리기를 둘 것입니다.
"Interceptive treatment can prevent more severe orthodontic issues as you grow, especially in mixed dentition stages."	"성장하는 동안, 특히 혼합 치열 단계에서 더 심각한 교정 문제를 예방할 수 있는 치료법입니다."
We use a cephalometric radiograph to assess your facial growth and development for planning your orthodontic treatment.	교정 치료 계획을 세우기 위해 얼굴의 성장과 발달을 평가하기 위해 두부 방사선 사진을 사용합니다.
"Due to your Class III Malocclusion, we are considering a comprehensive treatment approach, including the use of functional appliances."	3급 부정교합으로 인해 기능성 장치 사용을 포함한 종합적인 치료 접근 방식을 고려하고 있습니다.
Your preventive treatment will involve using a mouthguard during sports to protect your braces and teeth from damage.	예방 치료는 스포츠 활동 중 교정기와 치아를 손상으로부터 보호하기 위해 마우스가드를 사용하는 것을 포함합니다.
Serial extraction might be necessary to manage the space in your mouth and facilitate the proper eruption of your permanent teeth.	영구 치아의 적절한 분출을 용이하게 하고 입 안의 공간을 관리하기 위해 연속 추출이 필요할 수 있습니다.
Periodontal health is crucial during orthodontic treatment; we need to ensure your gums are healthy to support the movement of your teeth.	교정 치료 중에는 치주 건강이 매우 중요합니다; 치아 이동을 지원하기 위해 잇몸이 건강한지 확인해야 합니다.
The archwire will be adjusted to improve the alignment of your arch.	아치 와이어를 조정하여 귀하의 아치 정렬을 개선할 것입니다.
We need to perform a fiberotomy to minimize the chances of your teeth moving back to their original positions after braces.	교정 후 치아가 원래 위치로 돌아가는 것을 최소화하기 위해 섬유 절제술을 시행해야 합니다.
"During your next visit, we will replace the elastic chains to continue the pressure on your teeth."	"다음 방문 때, 치아에 압력을 계속 가하기 위해 탄성 체인을 교체할 것입니다."
We recommend a frenectomy because the frenum attachment is causing a gap between your front teeth.	프렌움 부착이 앞니 사이에 간격을 만들기 때문에 프레넥토미를 권장합니다.
The lingual side of your braces will be less noticeable but still very effective in moving your teeth.	당신의 교정기의 설측면은 눈에 덜 띄지만 여전히 치아 이동에 매우 효과적입니다.
Let's insert a lip bumper to alleviate pressure from your lower lip and help move your molars back.	하입의 압력을 완화하고 구치를 뒤로 이동시키는 데 도움이 되도록 입술 범퍼를 삽입합시다.
Using a palatal expander can help correct your crossbite by widening your upper jaw.	구개 확장기를 사용하면 상악을 넓혀 교차 교합을 교정하는 데 도움이 될 수 있습니다.
We will place a space maintainer to ensure that the space for your permanent teeth is not closed prematurely.	영구 치아 공간이 조기에 닫히지 않도록 스페이스 메인테이너를 설치할 것입니다.
Interproximal reduction might be necessary to create enough space for the alignment of your teeth.	치아 정렬에 필요한 충분한 공간을 만들기 위해 치아 간 감소가 필요할 수 있습니다.
It's important to wear your retainer as instructed to maintain the new position of your teeth after your braces are removed.	교정기 제거 후 치아의 새로운 위치를 유지하기 위해 지시대로 리테이너를 착용하는 것이 중요합니다.
"For our adjustments today, we'll change your elastics and check the tension in the archwire."	오늘 조정을 위해 탄성 밴드를 교체하고 아치 와이어의 긴장을 확인할 것입니다.
"Your anterior teeth, the incisors and canines, are the focus of today's appliance adjustment."	오늘 장치 조정의 초점은 앞니와 송곳니인 전치부입니다.
We will replace the bands on your braces to maintain the correct pressure on your teeth.	치아에 올바른 압력을 유지하기 위해 교정기의 밴드를 교체할 것입니다.
Using a bite plate can help reduce your deep bite by preventing the back teeth from touching.	뒷니가 닿는 것을 방지함으로써 딥 바이트를 줄이는 데 도움이 되는 물림판을 사용할 것입니다.
A bonded retainer will be perfect to maintain the position of your teeth after we remove your braces.	교정기를 제거한 후 치아의 위치를 유지하기 위해 고정 리테이너가 적합할 것입니다.
We need to apply new bonding agent to secure your brackets for better alignment.	더 나은 정렬을 위해 브래킷을 고정시키기 위해 새로운 접착제를 적용해야 합니다.
Your treatment plan includes wearing headgear at night to help with jaw growth and tooth movement.	치료 계획에는 턱 성장과 치아 이동을 도와주기 위해 밤에 헤드기어를 착용하는 것이 포함됩니다.
The Herbst appliance will correct your underbite by positioning your lower jaw forward.	Herbst 장치는 하악을 앞으로 위치시켜 언더바이트를 교정할 것입니다.
"During your Invisalign treatment, you'll use a series of clear aligners to gradually straighten your teeth."	Invisalign 치료 동안 일련의 투명 교정기를 사용하여 점차적으로 치아를 곧게 펴게 됩니다.
"To treat your open bite, we might need to consider orthognathic surgery as a last resort."	열린 교합을 치료하기 위해 최후의 수단으로 악교정 수술을 고려해야 할 수 있습니다.
Today we will adjust the archwire to better align your teeth during your monthly follow-up.	오늘 월간 추적 검사에서 치아를 더 잘 정렬하기 위해 아치 와이어를 조정할 것입니다.
Your ligature ties will be changed to new ones to keep the archwire securely in place.	아치 와이어가 안전하게 고정되도록 라이게이처 타이를 새 것으로 교체할 것입니다.
The anterior teeth need slight adjustments to correct their alignment.	전치부 치아의 정렬을 교정하기 위해 약간의 조정이 필요합니다.
We recommend a bite plate to prevent your deep bite from worsening.	딥 바이트가 악화되는 것을 방지하기 위해 물림판을 권장합니다.
"After removing your braces, we'll fit a bonded retainer to keep your teeth stable."	"교정기를 제거한 후, 치아가 안정되도록 고정 리테이너를 장착할 것입니다."
Today's bonding session will attach new brackets to your lower teeth.	오늘의 본딩 세션에서 하악의 새 브래킷을 부착할 것입니다.
Buccal tubes will help manage the elastics on your molars more effectively.	볼 튜브는 구치의 탄성 밴드를 더 효과적으로 관리하는 데 도움이 될 것입니다.
We need to close the spaces between your teeth with a power chain.	파워 체인을 사용하여 치아 사이의 공간을 닫아야 합니다.
Decalcification marks are visible; we need to improve your brushing habits.	탈회 자국이 보입니다; 양치 습관을 개선해야 합니다.
Let's address your diastema with a series of orthodontic treatments starting today.	오늘부터 시작하는 일련의 교정 치료로 치열 간격을 해결합시다.
